word,count
nächsten,7
findet,7
seinem,7
spielen,7
knapp,7
damen,7
jedoch,7
januar,7
gefahr,7
geehrte,7
jahres,7
könnt,7
glaube,7
jens,7
steigen,7
tonga,7
infektionszahlen,7
großbritannien,7
große,7
toll,7
lawrow,7
geworden,7
getrennt,7
gruppe,7
sonst,7
twitter,7
solche,7
kommission,7
täglich,7
kind,7
gern,7
sicher,7
sorgen,7
junge,7
gekommen,7
türen,7
zahlen,7
türkei,7
zehn,7
with,7
jungen,7
britische,7
angela,7
substantiv,7
weltweit,7
weniger,7
darunter,7
legt,7
bleibt,7
blinken,7
bisher,7
lesen,7
herren,7
grüne,7
letzten,7
hatten,7
hiermit,7
größte,7
führen,7
gesellschaft,6
dich,6
hersteller,6
monate,6
sowas,6
teilte,6
kanzlerin,6
hauptstadt,6
klasse,6
sitzen,6
vermutet,6
dir,6
gestern,6
angekündigt,6
chance,6
jährige,6
hand,6
völlig,6
geschrieben,6
keiner,6
angeblich,6
wünschen,6
rückgängig,6
würden,6
teilnehmen,6
autos,6
milliarden,6
russlands,6
diktatur,6
quarantäne,6
fest,6
plötzlich,6
mittlerweile,6
einst,6
zweiten,6
ju,6
mögliche,6
leute,6
insel,6
innerhalb,6
eher,6
video,6
innen,6
stelle,6
nord,6
erreicht,6
stellt,6
duden,6
ic,6
sterben,6
stunden,6
erklären,6
nutzer,6
nächster,6
dürfte,6
glück,6
steckt,6
neuinfektionen,6
this,6
regelmäßig,6
nahe,6
besonders,6
hamburger,6
überall,6
ziemlich,6
etwa,6
beachten,6
stark,6
auswahl,6
aller,6
be,6
eigenen,6
nen,6
allein,6
beste,6
neu,6
daten,6
gedacht,6
what,6
ums,6
manche,6
landes,6
schade,6
country,6
seines,6
who,6
preise,6
wartet,6
gegner,6
umfrage,6
mannheim,6
schreiben,6
lautet,6
wladimir,6
berater,6
behörden,6
bereich,6
derzeit,6
app,6
bekämpfung,6
unterstützung,6
fünf,6
berichtet,6
dank,6
schnell,6
lieber,6
seitdem,6
meinem,6
macron,6
leipzig,6
davor,6
läuft,6
leyen,6
singular,6
infektion,5
verbunden,5
zweimal,5
erwartet,5
neues,5
lauterbach,5
daran,5
verb,5
straße,5
gleichzeitig,5
stoltenberg,5
barock,5
reist,5
seite,5
zuvor,5
irgendwo,5
erster,5
but,5
ganze,5
schneller,5
küste,5
meines,5
vier,5
gott,5
interessant,5
ersetzen,5
niemals,5
frank,5
frankfurt,5
via,5
weihnachten,5
new,5
erscheint,5
arbeiten,5
verzögert,5
dreimal,5
wichtigsten,5
startet,5
wichtige,5
koalition,5
afghanistan,5
handball,5
syrien,5
syrischen,5
passieren,5
patienten,5
absolut,5
hoffen,5
unbedingt,5
they,5
auto,5
peter,5
daß,5
welches,5
schönen,5
bordbistro,5
plus,5
vermeiden,5
hannover,5
empfehlen,5
teuer,5
hast,5
antworten,5
schwere,5
früheren,5
heiko,5
posten,5
leuten,5
verfügung,5
hält,5
affäre,5
re,5
westen,5
rechts,5
retten,5
stunde,5
verstehe,5
wert,5
erhöhen,5
weitere,5
online,5
vereinten,5
bevor,5
opfern,5
ort,5
tiere,5
versehentlich,5
erfolgreich,5
eh,5
rb,5
ehemalige,5
höchstwert,5
größten,5
werk,5
ach,5
eigene,5
freundin,5
hätten,5
braucht,5
tennis,5
chinesischen,5
sohn,5
wählen,5
zb,5
china,5
geraten,5
vulkans,5
beginnt,5
spiel,5
sachsen,5
co,5
merz,5
genommen,5
wirtschaft,5
gesundheitsminister,5
genitiv,5
julian,5
mensch,5
do,5
getestet,5
spieler,5
unternehmen,5
diplomatische,5
seltener,5
gehören,5
wörter,5
wünsche,5
deswegen,5
soldaten,5
martin,5
gesagt,5
christian,5
digitale,5
sorge,5
rätsel,5
arzt,5
you,5
dinge,5
konnte,5
mittwoch,5
ursula,5
gereist,5
tür,5
zahl,5
damals,5
flixtrain,5
nachhaltig,5
ziehen,5
genauso,5
nahm,5
jeder,5
sprechen,5
dezember,5
klingt,5
tv,5
winter,5
ziel,5
waffen,5
alte,5
schlecht,5
klub,5
alten,5
draußen,5
gewählt,5
tweet,5
zufolge,5
roberta,5
dhb,5
spitzengespräch,5
kämpft,5
allen,5
meint,5
namen,5
sekunden,5
caravaggio,5
europäische,5
pressekonferenz,4
teils,4
rücktritt,4
turnier,4
dies,4
söder,4
bekam,4
two,4
bordrestaurant,4
bilder,4
coronamaßnahmen,4
sechs,4
thüringen,4
bahnsteig,4
site,4
ddr,4
bezug,4
tweets,4
sanktionen,4
ungeimpfte,4
david,4
bielefeld,4
verhindern,4
corporate,4
putins,4
schönsten,4
berliner,4
berlins,4
einsatz,4
vergangenen,4
tausende,4
bitter,4
tante,4
außerdem,4
teile,4
there,4
blanquer,4
tests,4
binnen,4
unglaublich,4
sachen,4
deutscher,4
besserung,4
schaffen,4
richtung,4
stimme,4
brüssel,4
uno,4
registriert,4
daher,4
druck,4
spitze,4
drosten,4
sprach,4
steigt,4
sprache,4
schlag,4
top,4
umleitung,4
dixie,4
bundeskanzler,4
dresden,4
verben,4
umgang,4
begriff,4
bundestag,4
starten,4
danach,4
bürger,4
bücher,4
starb,4
besseres,4
unserer,4
djokovi,4
dw,4
schutz,4
stream,4
daraus,4
union,4
scheint,4
design,4
branche,4
brauchen,4
reagiert,4
sorry,4
sekunde,4
bereitet,4
studie,4
ebenso,4
beschlossen,4
soziale,4
stimmt,4
briten,4
spahn,4
trend,4
reden,4
bedroht,4
tod,4
seid,4
schreibung,4
regeln,4
direkt,4
dynamo,4
dadurch,4
stirbt,4
tor,4
experten,4
führt,4
zieht,4
gewesen,4
markt,4
gewalt,4
folgen,4
zerstört,4
manchmal,4
getötet,4
armin,4
jährigen,4
form,4
gestiegen,4
ampel,4
madrid,4
formen,4
jürgen,4
gestartet,4
we,4
forscher,4
lösung,4
frage,4
lt,4
arabischen,4
lockdowns,4
kamen,4
kanzleramt,4
alternative,4
medizin,4
karl,4
mehrheit,4
exklusiv,4
infizierte,4
information,4
na,4
münchen,4
aktuell,4
aufnahme,4
my,4
al,4
monaten,4
moment,4
invasion,4
alexander,4
irgendwann,4
feedback,4
ministerium,4
zumindest,4
israel,4
zuhause,4
michael,4
metsola,4
merken,4
allerdings,4
meldete,4
melden,4
freitag,4
geschmack,4
europas,4
fürs,4
why,4
gastronomie,4
kommentare,4
wiederwahl,4
komplett,4
kündigte,4
geburtstag,4
wollt,4
willkommen,4
gefunden,4
kuban,4
gelernt,4
konflikts,4
geld,4
kritisch,4
wirkt,4
krise,4
konservativen,4
geimpften,4
wochenende,4
krank,4
geimpfte,4
wissens,4
wissenschaftler,4
geil,4
gemeint,4
einzigen,4
geschlossen,4
fühle,4
link,4
geschichte,4
ließ,4
geschah,4
anderem,4
anderes,4
welchem,4
friedrich,4
wünscht,4
from,4
frust,4
wären,4
kindern,4
frühere,4
geplant,4
letzter,4
wen,4
georg,4
lese,4
kleines,4
werbung,4
angekommen,4
klimakrise,4
would,4
fällen,4
infektionen,4
all,4
peru,4
planen,4
ausgebrochen,4
hass,4
person,4
autor,4
erneut,4
nochmal,4
entstanden,4
oben,4
gruppen,4
if,4
idioten,4
och,4
ärzte,4
plural,4
platz,4
gruß,4
verständnis,4
now,4
hilfe,4
ibiza,4
ohnehin,4
gucken,4
pcr,4
okay,4
höre,4
abgeordnete,4
advent,4
afrika,4
vermutlich,4
homeoffice,4
acht,4
halle,4
übrigens,4
haare,4
verschiedene,4
guten,4
positiv,4
nennen,4
überblick,4
hoffe,4
erlebt,4
großen,4
großes,4
erfahrungen,4
öffnen,4
verschärft,4
account,4
erstmal,4
zwar,4
plan,4
niederländischen,4
ihres,4
podcastillon,4
verwendet,4
halben,3
cologne,3
klein,3
impfstoffe,3
halb,3
taliban,3
home,3
holy,3
chronischen,3
kennen,3
some,3
kernkraft,3
german,3
hof,3
his,3
gerettet,3
solchen,3
kinderlos,3
haftstrafe,3
kinofilm,3
tatenlos,3
klamotten,3
hm,3
kollegen,3
genus,3
hart,3
gelöst,3
gelten,3
gelesen,3
helfer,3
heldenhafte,3
helden,3
gelandet,3
heftigen,3
hauptwort,3
shop,3
haus,3
kooperation,3
have,3
bindestrich,3
telegram,3
geimpft,3
geile,3
crush,3
tempo,3
her,3
herrscht,3
genießen,3
coronaregeln,3
hallo,3
hilft,3
klubikone,3
gendern,3
genderleicht,3
coronainfektion,3
haltung,3
koch,3
gen,3
hongkong,3
kolumbianer,3
hamm,3
komma,3
hey,3
gemeinsam,3
handel,3
kommentar,3
bislang,3
handelt,3
sonntagsfrage,3
gesprochen,3
kasachstans,3
strecke,3
iran,3
globale,3
start,3
bundesweit,3
gleis,3
idee,3
standort,3
glauben,3
bären,3
csu,3
staatschef,3
italien,3
hört,3
staatsanwaltschaft,3
ging,3
brandenburger,3
jahresrückblick,3
jamaika,3
staat,3
bundestrainer,3
glänzend,3
kasachstan,3
golf,3
großem,3
stimmen,3
impfungen,3
großdemo,3
großbritanniens,3
groko,3
impfstoff,3
stop,3
sterbehilfe,3
stellung,3
stoppen,3
griff,3
greta,3
grenzen,3
great,3
institut,3
großteil,3
internet,3
steffen,3
städte,3
bühne,3
gewusst,3
brand,3
kambodscha,3
spaziergang,3
spazieren,3
spannungen,3
hundert,3
spanien,3
spaltung,3
humaira,3
bröckelt,3
szene,3
blues,3
gespielt,3
chinas,3
sowohl,3
karam,3
karriere,3
guterres,3
sorgt,3
gutes,3
symptome,3
bobfahrer,3
kalte,3
job,3
gewonnen,3
bürgermeister,3
größer,3
gewinnen,3
sprengkörper,3
gewinn,3
spreche,3
brachte,3
suche,3
superreiche,3
sportart,3
gründen,3
journalistin,3
juden,3
julia,3
gt,3
hunderte,3
booster,3
sexueller,3
einwohner,3
setzt,3
million,3
drauf,3
ne,3
escobar,3
nein,3
nerven,3
netz,3
eruption,3
niederländische,3
dringend,3
dritte,3
dritten,3
reporter,3
religiös,3
nordkorea,3
drängt,3
normal,3
not,3
november,3
ernst,3
reihen,3
reicht,3
durchgesetzt,3
dutzende,3
null,3
nutzte,3
ermittlungen,3
dänemark,3
drastisch,3
drangsal,3
dran,3
mussten,3
diesmal,3
mitglied,3
röttgen,3
mithilfe,3
mitmischen,3
mittelmeer,3
farah,3
fans,3
fand,3
familien,3
falschen,3
fahrer,3
männer,3
nazis,3
märz,3
rot,3
express,3
müsste,3
rose,3
expertin,3
rom,3
dollar,3
tennisstar,3
europäischen,3
europaparlaments,3
naja,3
regen,3
oberbürgermeister,3
dörner,3
empfiehlt,3
engländerin,3
pflegepersonal,3
pionierin,3
pünktlich,3
endet,3
planeten,3
publikum,3
eingeleitet,3
plant,3
präsidentin,3
präsentieren,3
eingesetzt,3
einige,3
people,3
einklang,3
podcast,3
einschränken,3
emmanuel,3
produktion,3
politik,3
elf,3
elektroauto,3
einzuschlagen,3
prenzlauer,3
premierminister,3
postet,3
per,3
pause,3
offen,3
erdgas,3
eau,3
erkennt,3
ok,3
erkennen,3
egal,3
real,3
one,3
